expo,gauss
0.017,0.284
0.143,0.578
0.703,1.624
1.088,0.949
0.392,-1.471
0.31,1.042
3.001,1.89
0.47,1.066
1.359,-1.368
0.418,-0.362
0.444,-0.313
2.195,-0.146
0.184,0.921
0.853,0.163
1.131,1.384
0.221,2.133
1.519,0.646
0.274,-0.815
0.07,-0.775
0.181,-0.55
2.435,-0.72
1.089,-0.974
1.056,0.226
1.063,1.066
1.789,-1.769
0.466,1.748
0.26,-0.669
2.373,1.887
0.111,-1.442
0.424,0.183
0.119,-0.524
0.085,2.368
0.187,-2.045
0.43,1.213
1.245,-0.522
0.859,-1.687
1.697,-0.596
0.609,0.459
1.906,1.21
0.219,-1.427
0.379,1.374
0.197,-0.285
0.245,0.625
0.077,-1.016
0.186,0.186
0.248,0.044
0.694,-0.669
1.354,0.549
1.254,-0.546
1.073,-0.449
0.722,1.695
0.016,-1.199
1.605,1.345
0.243,-0.833
1.329,1.245
1.56,-0.692
1.599,-0.309
1.532,1.675
1.483,-0.283
0.32,1.111
0.562,0.515
2.012,1.699
0.571,-0.582
1.34,0.068
1.004,1.006
0.851,-1.544
0.393,0.732
2.778,-0.811
3.502,0.562
1.167,-0.713
0.749,0.464
0.116,0.101
0.627,2.161
0.663,0.153
2.901,-0.183
0.556,-0.206
2.297,-0.752
1.945,1.18
1.378,-0.072
0.616,-0.904
1.5,-0.026
2.709,-1.569
1.087,1.827
0.048,-0.817
1.933,-0.167
2.819,2.027
3.149,0.924
0.134,-0.595
1.553,1.137
4.405,-0.704
1.046,-0.618
1.606,-1.203
0.237,1.756
0.365,-0.295
0.039,-1.214
0.676,-0.08
1.021,-0.289
0.859,-1.974
0.631,-0.104
0.824,0.696
0.655,0.011
0.111,1.925
4.157,0.499
0.256,-1.476
0.022,0.669
0.256,-0.386
0.061,1.939
1.381,-0.273
0.721,0.476
3.11,-0.047
0.319,0.743
1.224,1.357
1.762,-1.374
0.062,1.663
0.208,-0.624
5.426,0.95
1.435,-1.29
1.848,2.035
1.568,-1.098
1.218,0.371
0.046,0.674
0.173,-1.107
0.08,-0.968
0.181,0.099
1.188,-1.31
0.785,0.591
0.345,0.526
4.53,-0.816
2.122,0.551
0.342,-0.085
1.994,0.341
2.431,1.322
0.543,1.565
0.481,0.667
0.266,2.184
2.86,-0.351
1.456,0.131
1.769,-2.417
0.053,0.195
0.412,0.42
0.569,-1.058
0.015,0.048
0.003,-0.398
0.892,-0.662
1.532,-0.986
1.068,0.053
0.356,0.743
1.154,0.249
0.194,-0.022
0.686,3.195
0.789,0.912
0.558,0.27
0.873,0.372
0.136,-1.553
0.732,0.842
0.795,-1.958
0.265,-1.115
0.519,-1.002
0.917,0.813
0.019,-0.813
4.719,-1.242
4.884,-0.15
0.67,-0.055
2.268,-0.485
1.071,1.631
0.245,1.084
1.26,2.117
0.1,-0.387
0.644,-0.536
0.083,-1.083
0.547,0.161
0.955,2.001
3.184,0.213
0.618,1.174
0.797,-0.044
0.369,-1.116
1.162,1.04
0.272,0.727
0.08,0.263
1.502,-2.56
0.343,1.012
0.962,-0.091
0.303,-0.35
1.948,-0.491
1.941,-0.631
0.197,-0.07
0.355,-2.293
0.238,0.741
0.462,-0.858
1.475,-0.124
0.009,-0.799
0.666,-1.129
1.06,0.924
3.175,-0.66
0.449,-1.357
0.657,-0.223
0.817,-0.431
0.599,1.002
0.687,1.846
1.402,-1.554
2.01,-0.204
2.505,0.334
0.009,1.465
0.373,-0.386
0.481,2.265
0.591,-3.467
0.237,0.935
0.078,1.002
2.004,0.721
3.628,0.844
0.337,2.331
0.517,0.371
0.089,-0.133
0.196,0.93
0.013,0.78
0.569,1.245
0.186,0.356
2.786,0.258
1.797,0.817
0.013,0.153
0.045,-0.811
1.256,1.38
0.398,-1.418
1.052,1.082
0.179,-0.751
0.724,-0.796
1.008,2.195
0.092,-1.637
6.278,0.861
0.522,1.078
1.142,0.282
0.759,0.127
0.544,-0.133
0.483,-2.811
0.13,-0.782
0.028,0.452
1.425,1.837
0.53,-0.855
2.315,0.81
1.178,1.784
0.342,0.088
0.176,-0.406
1.087,-0.471
0.324,-0.38
0.184,2.096
1.372,-0.228
1.783,-0.249
1.833,0.542
0.279,1.573
0.922,-0.332
0.048,0.286
0.203,0.455
1.001,0.821
2.546,0.879
2.209,-0.041
0.243,-1.126
2.268,0.375
0.013,0.446
3.952,0.177
0.713,0.055
1.313,0.388
0.102,-0.47
0.786,0.212
0.053,-1.336
0.647,-0.358
